Country Name,Series Name,2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
India,Access to electricity (% of population),67.9,70.13076019,71.6510849,75,76.3,67.6,79.9,80.73804474,83.58521271,88,89.53488159,92.45683289,95.19329834,97.81528473,..,..
India,Agricultural land (% of land area),60.50941918,60.4132262,60.45930465,60.56390611,60.39741826,60.43004315,60.42062566,60.43946065,60.44719645,60.43138851,60.43138851,60.43138851,60.43138851,..,..,..
India,Arable land (% of land area),53.36423168,53.14897467,53.13989352,53.11601344,52.80826318,52.79817301,52.65253818,52.61755892,52.62462204,52.6088141,52.6088141,52.6088141,52.6088141,..,..,..
India,Average supply of protein of animal origin (g/cap/day),9.7,10.3,10.7,11,11,11.3,11.7,11.7,11.7,12,12.7,13.3,14,..,..,..
India,CO2 emissions by sector (Mt CO2 eq) - Building,81.35,83.34,85.39,89.57,92.71,96.72,97.46,99.59,103.75,107.82,111.86,113.75,118.84,..,..,..
India,CO2 emissions by sector (Mt CO2 eq) - Bunker Fuels,34.48,33.52,31.2,33.57,36.07,38.78,39.85,40.57,40.88,41.48,43.09,45.59,47.54,..,..,..
India,CO2 emissions by sector (Mt CO2 eq) - Electricity/Heat,638.85,701.16,721.88,789.51,819.68,860.23,989.12,1006.04,1123.44,1103.23,1097.81,1157.77,1241.34,..,..,..
India,CO2 emissions by sector (Mt CO2 eq) - Energy,1150.02,1267.59,1350.8,1483.48,1573.95,1664.31,1807.17,1862.51,2028.87,2038.42,2072.68,2192.53,2309.22,..,..,..
India,CO2 emissions by sector (Mt CO2 eq) - Fugitive Emissions,1.64,1.64,1.64,1.86,1.81,1.7,1.91,1.53,1.48,1.53,1.81,1.72,1.44,..,..,..
India,CO2 emissions by sector (Mt CO2 eq) - Industrial Processes,64.23,68.51,73.08,85.05,91.37,96.49,101.4,104.3,108,111.8,110.6,108.9,125.3,..,..,..
India,CO2 emissions by sector (Mt CO2 eq) - Land-Use Change and Forestry,4.97,4.97,4.97,4.98,4.98,-64.83,-64.83,-64.83,-64.84,-64.84,-34.27,-34.27,-34.27,..,..,..
India,CO2 emissions by sector (Mt CO2 eq) - Manufacturing/Construction,260.24,294.8,308.18,355.6,398.01,443.4,431.78,469.25,500.41,503.78,525.1,558.99,571.38,..,..,..
India,CO2 emissions by sector (Mt CO2 eq) - Other Fuel Combustion,47.3,43.67,70.49,68.24,68.81,52.97,65.39,59.84,64.05,64.3,66.71,69.07,70.9,..,..,..
India,CO2 emissions by sector (Mt CO2 eq) - Total excluding LUCF,1214.25,1336.1,1423.88,1568.53,1665.31,1760.8,1908.57,1966.81,2136.87,2150.22,2183.28,2301.44,2434.52,..,..,..
India,CO2 emissions by sector (Mt CO2 eq) - Total including LUCF,1219.23,1341.07,1428.85,1573.51,1670.29,1695.97,1843.74,1901.98,2072.03,2085.38,2149.01,2267.16,2400.25,..,..,..
India,CO2 emissions by sector (Mt CO2 eq) - Transportation,120.65,142.98,163.21,178.71,192.92,209.3,221.52,226.26,235.75,257.75,269.4,291.23,305.33,..,..,..
India,CO2 emissions per dollar of manufacturing value added (kgCO2 per constant 2010 US$),1.44,1.5,1.56,1.65,1.72,1.81,1.66,1.73,1.72,1.52,1.47,1.48,..,..,..,..
India,Coal rents (% of GDP),1.097788817,1.183737893,2.845080212,1.389415438,1.637103828,2.020306204,1.490725928,1.211580981,0.977394728,0.760087154,0.804135881,0.939988105,1.15119017,0.816504693,..,..
India,Comparative advantage in environmental goods (index),0.506848451,0.524035925,0.574532271,0.505046747,0.511294888,0.426447857,0.447946243,0.472283546,0.478141998,0.538022492,0.544127802,0.499570519,0.501269224,0.490688151,..,..
India,Energy intensity of the economy (kWh per 2011$PPP),1.427,1.402,1.295,1.311,1.226,1.168,1.163,1.174,1.178,1.13,1.105,..,..,..,..,..
India,Food GHG emissions by system stage (Share of total) - Consumption,2.311664918,2.303613383,2.337431656,2.39216479,2.421281762,2.456492032,2.452726073,2.496209637,2.578798353,2.613336846,..,..,..,..,..,..
India,Food GHG emissions by system stage (Share of total) - End_of_Life,15.13434209,14.94428689,15.10194982,15.036269,15.03220606,15.02556584,14.88281945,14.95291769,14.8620754,14.98432067,..,..,..,..,..,..
